Generalization Accuracy:,
"
Client Best Model Round:",14
"
Client Accuracy:",0.5541
"
Client weighted f1:",0.5569
"
Client micro f1:",0.5541
"
Client macro f1:",0.5516
"
Client macro std f1:",0.0162
